Subleg  time		rp             e             i                   lnode	        argp		M0                ET0         MU
Num EL=10
  1      79.9259237       146608441     0.382600474    0.0532145194      6.24764749     0.418994574      6.10744261       780130639   1.3271244E+11
  2      82.8985358       147284444     0.383300223    0.0332067414     0.642771649      6.03780423      1.29337071       795061007   1.3271244E+11
  3      89.4724312       147304075      0.38325468    0.0333696066     0.645508021      6.03492013      4.55251555       828079337   1.3271244E+11
  4      93.1700744       146147032     0.388345982    0.0390758934     0.645316709     0.340828047      6.14283315       846651278   1.3271244E+11
  5      96.0406199       145898429     0.388603106    0.0270380354      1.26115255      6.00521769      1.28498743       861069003   1.3271244E+11
  6      104.171771       145917395     0.388739808    0.0269924095      1.25768393      6.00806604      5.32180154       901908870   1.3271244E+11
  7      106.334142       145152067     0.393826986    0.0182507737      1.25884155      0.32956813      6.14860708       912769687   1.3271244E+11
  8      109.018921       144678559     0.393978585    0.0134211808      1.93458748      5.92988466      1.19876894       926254376   1.3271244E+11
  9      116.824687       144691642     0.394041559    0.0133378947      1.92838823      5.93569216      5.07129116       965459949   1.3271244E+11
 10       119.54791       144610031      0.38711982   0.00676445467      5.05638859      3.50157288      6.13855484       979137729   1.3271244E+11
 11      122.023676       146728190     0.386731906   0.00526843629      5.82824531      2.76356205      1.07206866       991572617   1.3271244E+11
 12      128.170092       145193776     0.390912787   0.00490699679      5.82015136      2.77839676      4.10560575  1.02244387E+09   1.3271244E+11
 13      132.853091       144496253     0.329217747    0.0367879093      5.82500731      3.58252743      6.07003504   1.0459649E+09   1.3271244E+11
 14      135.310087       159409300      0.34048441    0.0294763129     0.697068513      2.74034269     0.896265841  1.05830551E+09   1.3271244E+11
 15      141.481852       148128882     0.370938349    0.0336163456     0.697999934      2.78370789      3.86082561  1.08930409E+09   1.3271244E+11
 16      146.568826       145721243     0.282965709    0.0388697247     0.697771137      3.69388645      5.97955262  1.11485414E+09   1.3271244E+11
 17      149.238214       168911500     0.306674447    0.0287791447      2.25208247      2.70608448     0.811709527  1.12826152E+09   1.3271244E+11
 18      155.795816       149355462     0.358647882    0.0303284152       2.2541092      2.78636307      3.89709439  1.16119801E+09   1.3271244E+11
 19      160.735655       149157492     0.376369979    0.0181270049      5.38995889     0.364206016      6.12999634  1.18600906E+09   1.3271244E+11
 20      163.249457       148681987     0.377453401    0.0144364143      6.05622383      5.97611328      1.09309318  1.19863499E+09   1.3271244E+11
 21      170.144787       148690799     0.377422338    0.0144946642       6.0580692       5.9742544      4.51137582  1.23326777E+09   1.3271244E+11
 22      173.982611       147596280      0.37872319    0.0481255526      6.05856507     0.387033451      6.11962705  1.25254379E+09   1.3271244E+11
 23      176.884307       147966781     0.380097203    0.0322347033     0.407618292      6.04884161      1.27138763  1.26711797E+09   1.3271244E+11
 24      182.470451       147999769     0.379987443    0.0322955249      0.40804258      6.04844202      4.04282826  1.29517518E+09   1.3271244E+11
 25      187.182415       146657064     0.378855768    0.0456125824     0.407590743     0.346773537       6.1365378  1.31884169E+09   1.3271244E+11
 26      190.132678       148291470     0.377191341    0.0355559291     0.683728045    0.0928057415      1.31879539  1.33365981E+09   1.3271244E+11
