,asteroid_full_name,asteroid_id,asteroid_q_function,asteroid_tisserand,cycler_orbit_index,cycler_orbit_q_function,cycler_orbit_tisserand,delta_q_function,delta_tisserand
36417,       (2009 VS),bK09V00S,0.429818920578,2.85225497305,10,0.1701329397,2.85225723988,0.259685980877,2.2668316535e-06
38565,  4581 Asclepius (1989 FC),a0004581,0.21286454521,2.86010156777,11,0.135443868916,2.86006511611,0.0774206762947,3.64516608178e-05
39169,       (2003 UX26),bK03U26X,0.0989988136231,2.86001363684,11,0.135443868916,2.86006511611,0.0364450552927,5.1479265486e-05
38861,408792 (2000 GF2),a0408792,0.333676895981,2.86012052712,11,0.135443868916,2.86006511611,0.198233027065,5.54110072617e-05
40654,       (2012 SJ58),bK12S58J,0.0976967712326,2.86000625146,11,0.135443868916,2.86006511611,0.0377470976833,5.88646466029e-05
40414,       (2011 TJ5),bK11T05J,0.100553653764,2.86019940005,11,0.135443868916,2.86006511611,0.0348902151514,0.000134283938858
41799,       (2015 XT128),bK15XC8T,0.199991160714,2.8602392349,11,0.135443868916,2.86006511611,0.0645472917983,0.000174118791127
36081,       (2007 XA10),bK07X10A,0.347245405345,2.85207128287,10,0.1701329397,2.85225723988,0.177112465645,0.000185957013644
40640,       (2012 QG49),bK12Q49G,0.115261548965,2.8603407916,11,0.135443868916,2.86006511611,0.0201823199513,0.000275675488003
39792,       (2009 CG),bK09C00G,0.783521797775,2.86036314616,11,0.135443868916,2.86006511611,0.648077928859,0.000298030053827
34531,       (2015 GZ12),bK15G12Z,0.220006400328,2.77781942299,9,0.324281927812,2.77813056648,0.104275527484,0.000311143483049
40491,       (2012 BX1),bK12B01X,0.368553716822,2.85975150194,11,0.135443868916,2.86006511611,0.233109847906,0.000313614174053
41674,       (2015 RV36),bK15R36V,2.82734893049,2.85972724615,11,0.135443868916,2.86006511611,2.69190506158,0.000337869959725
36776,       (2011 BU59),bK11B59U,0.11024159627,2.85262650893,10,0.1701329397,2.85225723988,0.0598913434307,0.000369269051904
34743,       (2015 VE65),bK15V65E,0.849984238774,2.77775189799,9,0.324281927812,2.77813056648,0.525702310962,0.000378668491844
42036,       (2016 GF134),bK16GD4F,0.138765608702,2.859674857,11,0.135443868916,2.86006511611,0.00332173978578,0.00039025911006
31809,363024 (1998 OK1),a0363024,0.327057206164,2.77862910246,9,0.324281927812,2.77813056648,0.00277527835181,0.000498535981838
41102,       (2014 HD124),bK14HC4D,0.179992551258,2.86057511982,11,0.135443868916,2.86006511611,0.0445486823421,0.000510003707236
33592,       (2012 KA),bK12K00A,0.24705259407,2.77760458525,9,0.324281927812,2.77813056648,0.0772293337418,0.000525981232911
40576,       (2012 FU62),bK12F62U,0.78239347594,2.85950634129,11,0.135443868916,2.86006511611,0.646949607024,0.000558774819604
41488,       (2015 DV215),bK15DL5V,0.128043277948,2.86065517599,11,0.135443868916,2.86006511611,0.00740059096751,0.000590059877137
33262,       (2011 BH39),bK11B39H,0.240963319237,2.77872992931,9,0.324281927812,2.77813056648,0.083318608575,0.000599362834327
36779,       (2011 CY3),bK11C03Y,0.128785862376,2.85292787015,10,0.1701329397,2.85225723988,0.0413470773247,0.000670630271388
35179,163818 (2003 RX7),a0163818,0.254072514452,2.85296085325,10,0.1701329397,2.85225723988,0.0839395747518,0.00070361336499
39790,       (2009 BD77),bK09B77D,0.203415415242,2.8593398826,11,0.135443868916,2.86006511611,0.0679715463258,0.00072523350654
39795,       (2009 CS1),bK09C01S,0.12449319903,2.86085166809,11,0.135443868916,2.86006511611,0.0109506698857,0.000786551983535
38418,       (2016 CM194),bK16CJ4M,0.111434287169,2.85145826875,10,0.1701329397,2.85225723988,0.058698652531,0.000798971131292
41205,       (2014 MK27),bK14M27K,0.223419772023,2.8592263856,11,0.135443868916,2.86006511611,0.0879759031075,0.000838730513451
36314,       (2009 EF1),bK09E01F,0.105866757181,2.85312488355,10,0.1701329397,2.85225723988,0.0642661825199,0.000867643671943
38521,       (2016 GV1),bK16G01V,0.105225085912,2.85137977769,10,0.1701329397,2.85225723988,0.0649078537888,0.000877462195648
31838,390522 (1996 GD1),a0390522,0.227068658274,2.77724567853,9,0.324281927812,2.77813056648,0.097213269538,0.000884887952939
40317,       (2011 EM40),bK11E40M,0.096488355564,2.8609545692,11,0.135443868916,2.86006511611,0.0389555133519,0.000889453095592
38195,       (2015 TG),bK15T00G,0.613925413573,2.8513661673,10,0.1701329397,2.85225723988,0.443792473872,0.000891072578928
39930,       (2009 WF),bK09W00F,0.288459989226,2.86100497547,11,0.135443868916,2.86006511611,0.15301612031,0.000939859356552
42031,       (2016 GX2),bK16G02X,0.808346084347,2.85912329867,11,0.135443868916,2.86006511611,0.672902215432,0.000941817436944
39286,       (2005 GD60),bK05G60D,0.302997987416,2.85909069115,11,0.135443868916,2.86006511611,0.1675541185,0.000974424960013
35485,       (1998 MW5),bJ98M05W,0.186277562331,2.85123636878,10,0.1701329397,2.85225723988,0.0161446226302,0.00102087109899
38824,367248 (2007 MK13),a0367248,0.839653575084,2.86110141486,11,0.135443868916,2.86006511611,0.704209706169,0.00103629874741
38653,152671 (1998 HL3),a0152671,0.138096554912,2.86115322745,11,0.135443868916,2.86006511611,0.00265268599634,0.00108811133879
39605,       (2008 CQ),bK08C00Q,0.217839943028,2.85895293535,11,0.135443868916,2.86006511611,0.0823960741119,0.00111218075892
40404,       (2011 SC25),bK11S25C,0.574296906748,2.85895128321,11,0.135443868916,2.86006511611,0.438853037832,0.00111383289616
36062,       (2007 VC3),bK07V03C,0.48680781846,2.85113062762,10,0.1701329397,2.85225723988,0.316674878759,0.00112661226421
37299,       (2013 EY27),bK13E27Y,0.21203857572,2.85111340756,10,0.1701329397,2.85225723988,0.0419056360192,0.00114383232716
32558,       (2007 VS6),bK07V06S,0.236352146168,2.77930186336,9,0.324281927812,2.77813056648,0.0879297816437,0.00117129687823
36815,       (2011 EJ47),bK11E47J,0.121405746088,2.85344614116,10,0.1701329397,2.85225723988,0.0487271936126,0.0011889012785
37143,       (2012 SG32),bK12S32G,1.22885934805,2.85351275784,10,0.1701329397,2.85225723988,1.05872640835,0.00125551796098
40451,       (2011 WL2),bK11W02L,0.657031201433,2.85878121043,11,0.135443868916,2.86006511611,0.521587332517,0.00128390567581
35474,       (1996 TD9),bJ96T09D,0.141238647514,2.85358416409,10,0.1701329397,2.85225723988,0.0288942921862,0.00132692420277
41072,       (2014 FV32),bK14F32V,0.170673630501,2.85870998889,11,0.135443868916,2.86006511611,0.0352297615856,0.00135512722408
37464,       (2013 VG13),bK13V13G,0.395702683951,2.85083506049,10,0.1701329397,2.85225723988,0.225569744251,0.00142217939754
41549,       (2015 HM1),bK15H01M,1.34276748615,2.86153809149,11,0.135443868916,2.86006511611,1.20732361724,0.00147297537595
40023,       (2010 FX9),bK10F09X,0.100404756022,2.85853964084,11,0.135443868916,2.86006511611,0.0350391128936,0.00152547526953
33323,       (2011 FC29),bK11F29C,0.196215145033,2.77969169609,9,0.324281927812,2.77813056648,0.128066782779,0.00156112961308
41440,       (2015 BN311),bK15BV1N,0.407451385863,2.86163161951,11,0.135443868916,2.86006511611,0.272007516948,0.00156650340243
35381,420591 (2012 HF31),a0420591,0.132148761493,2.85068853563,10,0.1701329397,2.85225723988,0.0379841782071,0.00156870425775
39452,       (2006 UE64),bK06U64E,0.0990939123439,2.85849033269,11,0.135443868916,2.86006511611,0.036349956572,0.00157478341644
37832,       (2014 UL175),bK14UH5L,0.143086072925,2.85067234292,10,0.1701329397,2.85225723988,0.0270468667758,0.00158489696657
37088,       (2012 HH20),bK12H20H,0.180744763042,2.85059222948,10,0.1701329397,2.85225723988,0.0106118233417,0.00166501039999
41425,       (2015 BF),bK15B00F,0.123932601175,2.85836824933,11,0.135443868916,2.86006511611,0.0115112677406,0.00169686678184
36274,       (2009 BE),bK09B00E,0.104427481314,2.8505516506,10,0.1701329397,2.85225723988,0.0657054583865,0.00170558928293
35074, 13651 (1997 BR),a0013651,0.591943535941,2.85054611274,10,0.1701329397,2.85225723988,0.42181059624,0.00171112714101
37907,       (2015 AF44),bK15A44F,0.108497585067,2.85053467657,10,0.1701329397,2.85225723988,0.0616353546335,0.0017225633134
38081,       (2015 JD1),bK15J01D,1.10468819043,2.85398090411,10,0.1701329397,2.85225723988,0.934555250733,0.00172366422375
38283,       (2015 XZ1),bK15X01Z,0.528258503839,2.85053006146,10,0.1701329397,2.85225723988,0.358125564138,0.00172717841948
37073,       (2012 GE),bK12G00E,0.104487988295,2.85400943406,10,0.1701329397,2.85225723988,0.0656449514055,0.00175219417995
32085,       (2002 JD9),bK02J09D,0.313583671271,2.77988583264,9,0.324281927812,2.77813056648,0.0106982565415,0.00175526616644
41426,       (2015 BQ),bK15B00Q,0.413200476008,2.85830587325,11,0.135443868916,2.86006511611,0.277756607093,0.00175924286417
