,asteroid_full_name,asteroid_id,asteroid_q_function,cycler_orbit_index,cycler_orbit_q_function,delta_q_function
0,   433 Eros (1898 DQ),a0000433,,0,,
1,  1620 Geographos (1951 RA),a0001620,,0,,
2,  1685 Toro (1948 OA),a0001685,,0,,
3,  1943 Anteros (1973 EC),a0001943,,0,,
4,  2063 Bacchus (1977 HB),a0002063,0.185113940866,0,,
5,  3361 Orpheus (1982 HR),a0003361,,0,,
6,  3800 Karayusuf (1984 AB),a0003800,,0,,
7,  3988 Huma (1986 LA),a0003988,,0,,
8,  4034 Vishnu (1986 PA),a0004034,,0,,
9,  4544 Xanthus (1989 FB),a0004544,0.208843056613,0,,
10,  4581 Asclepius (1989 FC),a0004581,,0,,
11,  4660 Nereus (1982 DB),a0004660,,0,,
12,  4947 Ninkasi (1988 TJ1),a0004947,,0,,
13,  5645 (1990 SP),a0005645,0.237430089023,0,,
14,  6239 Minos (1989 QF),a0006239,,0,,
15,  7025 (1993 QA),a0007025,,0,,
16,  7350 (1993 VA),a0007350,,0,,
17,  7467 (1989 WQ1),a0007467,,0,,
18,  7474 (1992 TC),a0007474,,0,,
19,  7480 Norwan (1994 PC),a0007480,,0,,
20,  9058 (1992 JB),a0009058,,0,,
21, 10115 (1992 SK),a0010115,0.247336312681,0,,
22, 10302 (1989 ML),a0010302,,0,,
23, 11500 Tomaiyowit (1989 UR),a0011500,,0,,
24, 13651 (1997 BR),a0013651,,0,,
25, 15817 Lucianotesi (1994 QC),a0015817,,0,,
26, 16834 (1997 WU22),a0016834,,0,,
27, 17511 (1992 QN),a0017511,,0,,
28, 22099 (2000 EX106),a0022099,,0,,
29, 25143 Itokawa (1998 SF36),a0025143,,0,,
30, 25330 (1999 KV4),a0025330,0.232737328357,0,,
31, 35107 (1991 VH),a0035107,,0,,
32, 36017 (1999 ND43),a0036017,,0,,
33, 39565 (1992 SL),a0039565,0.126483427148,0,,
34, 39774 (1997 GO27),a0039774,,0,,
35, 41434 (2000 GB82),a0041434,0.33683879777,0,,
36, 41440 (2000 HZ23),a0041440,,0,,
37, 52381 (1993 HA),a0052381,,0,,
38, 52689 (1998 FF2),a0052689,0.147221779056,0,,
39, 52761 (1998 MN14),a0052761,,0,,
40, 53550 (2000 BF19),a0053550,,0,,
41, 54509 YORP (2000 PH5),a0054509,,0,,
42, 65674 (1988 SM),a0065674,0.164587473884,0,,
43, 65690 (1991 DG),a0065690,,0,,
44, 65717 (1993 BX3),a0065717,,0,,
45, 65803 Didymos (1996 GT),a0065803,,0,,
46, 66251 (1999 GJ2),a0066251,,0,,
47, 67367 (2000 LY27),a0067367,,0,,
48, 67399 (2000 PJ6),a0067399,,0,,
49, 68031 (2000 YK29),a0068031,,0,,
50, 68216 (2001 CV26),a0068216,0.307908741375,0,,
51, 68278 (2001 FC7),a0068278,,0,,
52, 68346 (2001 KZ66),a0068346,,0,,
53, 68359 (2001 OZ13),a0068359,,0,,
54, 68372 (2001 PM9),a0068372,,0,,
55, 85236 (1993 KH),a0085236,0.18815185455,0,,
56, 85585 Mjolnir (1998 FG2),a0085585,0.0988578312935,0,,
57, 85628 (1998 KV2),a0085628,,0,,
58, 85774 (1998 UT18),a0085774,,0,,
59, 85839 (1998 YO4),a0085839,0.140157003235,0,,
60, 85990 (1999 JV6),a0085990,,0,,
61, 87024 (2000 JS66),a0087024,,0,,
62, 89136 (2001 US16),a0089136,,0,,
63, 90367 (2003 LC5),a0090367,,0,,
64, 90373 (2003 SZ219),a0090373,,0,,
65, 90403 (2003 YE45),a0090403,,0,,
66, 96631 (1999 FP59),a0096631,0.085862874346,0,,
67, 98943 (2001 CC21),a0098943,,0,,
68, 99799 (2002 LJ3),a0099799,,0,,
69,101955 Bennu (1999 RQ36),a0101955,0.0539045801022,0,,
70,103066 (1999 XO141),a0103066,,0,,
71,105141 (2000 NF11),a0105141,,0,,
72,108519 (2001 LF),a0108519,,0,,
73,121514 (1999 UJ7),a0121514,,0,,
74,122180 (2000 KV43),a0122180,,0,,
75,136582 (1992 BA),a0136582,,0,,
76,136617 (1994 CC),a0136617,,0,,
77,136618 (1994 CN2),a0136618,,0,,
78,136635 (1994 VA1),a0136635,,0,,
79,136839 (1997 WT22),a0136839,,0,,
80,137064 (1998 WP5),a0137064,0.313244886115,0,,
81,137175 (1999 JA11),a0137175,,0,,
82,137199 (1999 KX4),a0137199,,0,,
83,137799 (1999 YB),a0137799,0.0715424180353,0,,
84,138175 (2000 EE104),a0138175,0.114754221767,0,,
85,138404 (2000 HA24),a0138404,,0,,
86,138868 (2000 XR15),a0138868,,0,,
87,138911 (2001 AE2),a0138911,,0,,
88,138947 (2001 BA40),a0138947,,0,,
89,138971 (2001 CB21),a0138971,,0,,
90,139622 (2001 QQ142),a0139622,,0,,
91,141018 (2001 WC47),a0141018,,0,,
92,142464 (2002 TC9),a0142464,,0,,
93,142561 (2002 TX68),a0142561,,0,,
94,143527 (2003 EN16),a0143527,,0,,
95,143678 (2003 SA224),a0143678,0.214464351756,0,,
96,152560 (1991 BN),a0152560,,0,,
97,152627 (1997 DF),a0152627,,0,,
98,152671 (1998 HL3),a0152671,,0,,
99,152704 (1998 SD4),a0152704,,0,,
